,record_id,sim_1_ranks,sim_2_ranks,sim_3_ranks,sim_4_ranks,sim_5_ranks,sim_6_ranks,sim_7_ranks,sim_8_ranks,sim_9_ranks,sim_10_ranks,sim_11_ranks,sim_12_ranks,sim_13_ranks,sim_14_ranks,sim_15_ranks,sim_16_ranks,sim_17_ranks,sim_18_ranks,sim_19_ranks,sim_20_ranks,sim_21_ranks,sim_22_ranks,sim_23_ranks,sim_24_ranks,sim_25_ranks,sim_26_ranks,sim_27_ranks,sim_28_ranks,sim_29_ranks,sim_30_ranks,sim_31_ranks,sim_32_ranks,sim_33_ranks,sim_34_ranks,sim_35_ranks,sim_36_ranks,sim_37_ranks,sim_38_ranks,sim_39_ranks,sim_40_ranks,sim_41_ranks,sim_42_ranks,sim_43_ranks,sim_44_ranks,sim_45_ranks,sim_46_ranks,sim_47_ranks,sim_48_ranks
20,2398,44,44,44,44,44,44,44,43,44,45,44,44,44,44,43,44,44,44,45,44,0,44,43,45,44,44,44,44,44,44,44,44,43,44,44,44,45,44,44,44,44,44,44,44,44,45,44,44
21,2475,6,10,20,5,6,4,23,6,6,21,20,11,6,5,16,4,18,4,14,10,9,0,16,7,5,5,8,13,12,13,2,4,16,19,18,16,18,18,1,4,2,19,19,5,19,13,10,3
22,2640,39,31,4,32,32,30,14,30,32,15,14,34,31,31,1,30,4,33,5,31,32,31,0,31,30,34,30,36,35,36,30,31,1,5,4,5,7,4,35,31,39,5,2,30,3,37,31,34
23,2768,22,23,13,22,22,22,11,21,22,12,9,5,21,22,10,22,11,23,27,23,22,22,10,0,21,23,24,9,10,9,21,22,10,10,11,11,1,11,22,22,22,13,9,21,10,11,23,20
24,3142,14,17,28,19,19,15,33,18,19,33,34,28,16,14,29,15,28,18,30,17,24,14,29,19,0,17,18,31,30,31,16,14,29,33,28,27,33,28,19,14,14,32,32,16,34,31,17,21
25,3186,10,14,15,10,8,10,21,10,8,20,19,17,11,11,12,10,13,11,11,14,14,10,12,3,10,0,3,12,17,12,10,9,12,15,13,14,14,13,10,9,10,16,15,1,16,12,14,11
26,3230,34,29,38,27,27,26,42,27,27,44,43,43,25,27,44,26,43,27,44,29,28,27,44,28,26,27,0,43,43,43,27,27,44,43,43,43,44,43,28,27,34,43,43,27,38,44,29,28
27,3376,27,28,11,30,30,34,1,35,30,4,2,3,30,35,30,34,31,29,36,28,31,35,30,36,35,29,34,0,3,1,35,35,30,13,31,12,30,31,30,35,27,11,12,35,12,4,28,30
28,3529,20,21,33,23,23,23,35,22,23,34,35,1,22,23,28,23,30,21,29,21,23,23,28,24,23,20,1,28,0,28,23,23,28,31,30,32,31,30,23,23,20,33,33,22,33,29,21,23
29,3621,30,37,37,39,39,37,2,37,39,5,5,4,37,36,37,37,37,32,39,37,38,36,37,39,37,31,37,2,4,0,37,36,37,38,37,37,38,37,32,36,30,37,37,37,15,5,37,32
30,3932,9,13,32,11,10,9,31,11,10,35,30,21,10,10,25,9,26,12,25,13,12,9,25,13,12,10,14,23,21,23,0,10,25,32,26,30,27,26,11,10,1,29,31,11,29,23,13,1
31,4056,5,9,22,1,5,3,28,3,5,25,24,16,4,6,18,3,21,6,17,9,6,5,18,9,4,4,9,17,18,17,6,0,18,22,21,20,24,21,6,3,6,22,22,7,24,17,9,7
32,4241,38,33,5,33,33,31,13,31,33,14,13,35,33,32,2,31,3,35,6,33,34,32,2,32,31,35,31,38,36,38,31,32,0,4,3,6,8,3,37,32,38,4,4,31,5,38,33,36
33,4421,35,40,39,37,37,42,40,38,37,42,39,40,41,38,40,42,38,40,37,40,41,38,40,40,42,42,39,40,41,40,40,38,40,0,38,40,39,38,42,38,35,38,39,40,42,36,40,41
34,4592,36,35,8,35,35,35,10,34,35,11,12,32,35,37,7,35,1,37,4,35,36,37,7,33,33,32,36,33,38,33,34,37,7,3,0,3,5,2,34,37,36,2,7,34,8,34,35,38
35,4597,28,27,10,29,29,32,8,33,29,9,10,31,29,28,11,32,10,28,1,27,30,28,11,35,34,28,32,10,32,10,33,28,11,12,10,0,9,10,27,28,28,10,11,33,11,9,27,31
36,4826,45,45,45,45,45,45,45,45,45,46,45,45,45,45,45,45,45,45,46,45,45,45,45,1,45,45,45,45,45,45,45,45,45,45,45,45,0,45,46,45,45,46,45,45,45,46,45,45
37,4842,37,34,6,34,34,33,9,32,34,10,11,33,34,33,5,33,2,36,3,34,35,33,5,34,32,33,33,34,37,34,32,33,5,1,2,2,6,0,33,33,37,3,5,32,6,35,34,37
38,4924,18,20,31,18,18,20,36,19,18,38,33,26,23,19,31,20,29,20,28,20,18,19,31,22,16,21,22,27,28,27,19,19,31,30,29,31,29,29,0,19,18,31,30,18,32,26,20,15
39,4990,8,12,23,4,9,2,26,4,9,26,25,15,1,3,21,2,22,7,20,12,11,4,21,8,7,7,10,18,15,18,5,3,21,23,22,21,21,22,5,0,5,25,23,6,23,18,12,6
40,5034,7,11,18,6,7,5,22,5,7,22,21,10,5,4,17,5,17,3,15,11,10,1,17,6,6,6,5,15,11,15,1,5,17,20,17,17,17,17,2,5,0,20,20,4,21,14,11,2
41,5147,29,36,9,36,36,36,6,36,36,8,7,6,36,34,9,36,9,31,38,36,37,34,9,38,36,30,35,8,9,8,36,34,9,11,9,4,3,9,31,34,29,0,8,36,9,8,36,33
42,5332,41,30,1,28,28,28,17,28,28,18,17,37,28,29,3,28,7,30,9,30,29,29,3,29,28,37,28,35,33,35,28,29,3,8,7,9,12,7,29,29,41,8,0,28,2,40,30,29
43,5386,21,22,30,21,21,21,32,20,21,32,32,23,20,21,26,21,12,22,26,22,21,21,26,2,22,22,2,25,26,25,20,21,26,29,12,29,2,12,21,21,21,30,28,0,30,25,22,19
44,5492,24,24,3,24,24,25,16,24,24,16,16,30,24,24,6,25,6,25,8,24,25,24,6,25,24,24,25,32,31,32,24,24,6,7,6,8,11,6,24,24,24,7,3,24,0,32,24,25
45,5655,46,46,46,46,46,46,46,46,46,1,46,46,46,46,46,46,46,46,47,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,45,46,46,45,46,46,46,0,46,46
46,5746,16,2,36,15,15,17,39,16,15,39,38,29,18,16,36,17,36,17,33,2,1,16,36,18,20,15,20,30,29,30,17,16,36,37,36,36,36,36,17,16,16,36,36,20,37,30,0,22
47,5791,43,43,42,43,43,43,41,44,43,41,41,42,42,42,42,43,42,42,42,43,44,42,42,43,43,43,42,42,42,42,43,42,42,42,42,41,42,42,43,42,43,41,42,42,43,42,43,0
